FundCode,FundName,股票名稱,代碼,持有張數,張數增減,備註,日期
49YTW,統一台股增長主動式ETF基金,台積電,2330,11264,-620,減碼,2026-08-28
49YTW,統一台股增長主動式ETF基金,台光電,2383,4807,0,持平,2026-08-28
49YTW,統一台股增長主動式ETF基金,欣興,3037,20300,0,持平,2026-08-28
49YTW,統一台股增長主動式ETF基金,聯發科,2454,5148,0,持平,2026-08-28
49YTW,統一台股增長主動式ETF基金,奇鋐,3017,5979,0,持平,2026-08-28
49YTW,統一台股增長主動式ETF基金,緯穎,6669,2226,0,持平,2026-08-28
49YTW,統一台股增長主動式ETF基金,國巨*,2327,25387,0,持平,2026-08-28
49YTW,統一台股增長主動式ETF基金,智邦,2345,6564,0,持平,2026-08-28
49YTW,統一台股增長主動式ETF基金,健策,3653,2407,0,持平,2026-08-28
49YTW,統一台股增長主動式ETF基金,台達電,2308,7250,0,持平,2026-08-28
49YTW,統一台股增長主動式ETF基金,旺矽,6223,2486,0,持平,2026-08-28
49YTW,統一台股增長主動式ETF基金,日月光投控,3711,19479,0,持平,2026-08-28
49YTW,統一台股增長主動式ETF基金,南電,8046,9624,0,持平,2026-08-28
49YTW,統一台股增長主動式ETF基金,聯電,2303,89518,0,持平,2026-08-28
49YTW,統一台股增長主動式ETF基金,貿聯-KY,3665,4672,0,持平,2026-08-28
49YTW,統一台股增長主動式ETF基金,台燿,6274,5498,0,持平,2026-08-28
49YTW,統一台股增長主動式ETF基金,富世達,6805,2264,0,持平,2026-08-28
49YTW,統一台股增長主動式ETF基金,信驊,5274,314,-28,減碼,2026-08-28
49YTW,統一台股增長主動式ETF基金,京元電子,2449,12668,893,加碼,2026-08-28
49YTW,統一台股增長主動式ETF基金,勤誠,8210,2477,0,持平,2026-08-28
49YTW,統一台股增長主動式ETF基金,金像電,2368,1957,0,持平,2026-08-28
49YTW,統一台股增長主動式ETF基金,創意,3443,325,0,持平,2026-08-28
49YTW,統一台股增長主動式ETF基金,華星光,4979,3173,0,持平,2026-08-28
49YTW,統一台股增長主動式ETF基金,高力,8996,1301,0,持平,2026-08-28
49YTW,統一台股增長主動式ETF基金,欣銓,3264,5917,0,持平,2026-08-28
49YTW,統一台股增長主動式ETF基金,精測,6510,477,0,持平,2026-08-28
49YTW,統一台股增長主動式ETF基金,臻鼎-KY,4958,1645,0,持平,2026-08-28
49YTW,統一台股增長主動式ETF基金,台表科,6278,3249,0,持平,2026-08-28
49YTW,統一台股增長主動式ETF基金,同欣電,6271,2223,0,持平,2026-08-28
49YTW,統一台股增長主動式ETF基金,新日興,3376,1741,0,持平,2026-08-28
49YTW,統一台股增長主動式ETF基金,精成科,6191,3988,0,持平,2026-08-28
49YTW,統一台股增長主動式ETF基金,萬潤,6187,88,-195,減碼,2026-08-28
49YTW,統一台股增長主動式ETF基金,中鋼,2002,5163,0,持平,2026-08-28
49YTW,統一台股增長主動式ETF基金,大立光,3008,1,0,持平,2026-08-28
49YTW,統一台股增長主動式ETF基金,穎崴,6515,1,0,持平,2026-08-28
49YTW,統一台股增長主動式ETF基金,世芯-KY,3661,1,0,持平,2026-08-28
49YTW,統一台股增長主動式ETF基金,致茂,2360,1,0,持平,2026-08-28
49YTW,統一台股增長主動式ETF基金,亞德客-KY,1590,1,0,持平,2026-08-28
49YTW,統一台股增長主動式ETF基金,環球晶,6488,1,0,持平,2026-08-28
49YTW,統一台股增長主動式ETF基金,強茂,2481,5,0,持平,2026-08-28
49YTW,統一台股增長主動式ETF基金,譜瑞-KY,4966,1,-139,減碼,2026-08-28
49YTW,統一台股增長主動式ETF基金,金居,8358,1,0,持平,2026-08-28
49YTW,統一台股增長主動式ETF基金,南亞科,2408,1,0,持平,2026-08-28
49YTW,統一台股增長主動式ETF基金,廣達,2382,1,0,持平,2026-08-28
49YTW,統一台股增長主動式ETF基金,鴻海,2317,1,0,持平,2026-08-28
49YTW,統一台股增長主動式ETF基金,華通,2313,1,0,持平,2026-08-28
49YTW,統一台股增長主動式ETF基金,世界,5347,1,0,持平,2026-08-28
49YTW,統一台股增長主動式ETF基金,慧洋-KY,2637,1,0,持平,2026-08-28
49YTW,統一台股增長主動式ETF基金,南茂,8150,1,0,持平,2026-08-28
49YTW,統一台股增長主動式ETF基金,美律,2439,1,0,持平,2026-08-28
63YTW,統一台股升級50主動式ETF基金,台積電,2330,11100,-900,減碼,2026-08-28
63YTW,統一台股升級50主動式ETF基金,奇鋐,3017,3150,0,持平,2026-08-28
63YTW,統一台股升級50主動式ETF基金,欣興,3037,8460,0,持平,2026-08-28
63YTW,統一台股升級50主動式ETF基金,台光電,2383,1600,0,持平,2026-08-28
63YTW,統一台股升級50主動式ETF基金,聯發科,2454,2110,0,持平,2026-08-28
63YTW,統一台股升級50主動式ETF基金,聯電,2303,50000,0,持平,2026-08-28
63YTW,統一台股升級50主動式ETF基金,健策,3653,1087,0,持平,2026-08-28
63YTW,統一台股升級50主動式ETF基金,國巨*,2327,9785,0,持平,2026-08-28
63YTW,統一台股升級50主動式ETF基金,旺矽,6223,1100,0,持平,2026-08-28
63YTW,統一台股升級50主動式ETF基金,大立光,3008,760,60,加碼,2026-08-28
63YTW,統一台股升級50主動式ETF基金,台達電,2308,2880,0,持平,2026-08-28
63YTW,統一台股升級50主動式ETF基金,緯穎,6669,700,40,加碼,2026-08-28
63YTW,統一台股升級50主動式ETF基金,智邦,2345,2307,0,持平,2026-08-28
63YTW,統一台股升級50主動式ETF基金,日月光投控,3711,7000,0,持平,2026-08-28
63YTW,統一台股升級50主動式ETF基金,景碩,3189,4550,0,持平,2026-08-28
63YTW,統一台股升級50主動式ETF基金,創意,3443,650,29,加碼,2026-08-28
63YTW,統一台股升級50主動式ETF基金,南電,8046,2640,0,持平,2026-08-28
63YTW,統一台股升級50主動式ETF基金,貿聯-KY,3665,1293,93,加碼,2026-08-28
63YTW,統一台股升級50主動式ETF基金,台燿,6274,1900,0,持平,2026-08-28
63YTW,統一台股升級50主動式ETF基金,環球晶,6488,2800,0,持平,2026-08-28
63YTW,統一台股升級50主動式ETF基金,富世達,6805,1050,114,加碼,2026-08-28
63YTW,統一台股升級50主動式ETF基金,南亞,1303,11000,622,加碼,2026-08-28
63YTW,統一台股升級50主動式ETF基金,信驊,5274,150,-30,減碼,2026-08-28
63YTW,統一台股升級50主動式ETF基金,高力,8996,1737,0,持平,2026-08-28
63YTW,統一台股升級50主動式ETF基金,華邦電,2344,12000,-3000,減碼,2026-08-28
63YTW,統一台股升級50主動式ETF基金,致茂,2360,1000,0,持平,2026-08-28
63YTW,統一台股升級50主動式ETF基金,力成,6239,5360,0,持平,2026-08-28
63YTW,統一台股升級50主動式ETF基金,鴻勁,7769,130,0,持平,2026-08-28
63YTW,統一台股升級50主動式ETF基金,鴻海,2317,3200,0,持平,2026-08-28
63YTW,統一台股升級50主動式ETF基金,順達,3211,2000,0,持平,2026-08-28
63YTW,統一台股升級50主動式ETF基金,辛耘,3583,800,0,持平,2026-08-28
63YTW,統一台股升級50主動式ETF基金,旺宏,2337,4500,0,持平,2026-08-28
63YTW,統一台股升級50主動式ETF基金,川湖,2059,35,0,持平,2026-08-28
63YTW,統一台股升級50主動式ETF基金,嘉澤,3533,250,0,持平,2026-08-28
63YTW,統一台股升級50主動式ETF基金,光聖,6442,225,0,持平,2026-08-28
63YTW,統一台股升級50主動式ETF基金,金居,8358,600,-200,減碼,2026-08-28
63YTW,統一台股升級50主動式ETF基金,漢唐,2404,250,0,持平,2026-08-28
63YTW,統一台股升級50主動式ETF基金,聯鈞,3450,400,0,持平,2026-08-28
63YTW,統一台股升級50主動式ETF基金,長興,1717,2800,300,加碼,2026-08-28
63YTW,統一台股升級50主動式ETF基金,中砂,1560,300,0,持平,2026-08-28
63YTW,統一台股升級50主動式ETF基金,欣銓,3264,700,0,持平,2026-08-28
63YTW,統一台股升級50主動式ETF基金,譜瑞-KY,4966,220,0,持平,2026-08-28
63YTW,統一台股升級50主動式ETF基金,全新,2455,200,0,持平,2026-08-28
63YTW,統一台股升級50主動式ETF基金,啟碁,6285,350,0,持平,2026-08-28
63YTW,統一台股升級50主動式ETF基金,群聯,8299,1,0,持平,2026-08-28
63YTW,統一台股升級50主動式ETF基金,帆宣,6196,1,0,持平,2026-08-28
63YTW,統一台股升級50主動式ETF基金,臻鼎-KY,4958,1,0,持平,2026-08-28
63YTW,統一台股升級50主動式ETF基金,上銀,2049,1,0,持平,2026-08-28
63YTW,統一台股升級50主動式ETF基金,強茂,2481,1,0,持平,2026-08-28
63YTW,統一台股升級50主動式ETF基金,世界,5347,1,0,持平,2026-08-28
