FundCode,FundName,股票名稱,代碼,持有張數,張數增減,備註,日期
49YTW,統一台股增長主動式ETF基金,台積電,2330,11960,0,持平,2026-06-25
49YTW,統一台股增長主動式ETF基金,國巨*,2327,25098,1206,加碼,2026-06-25
49YTW,統一台股增長主動式ETF基金,台光電,2383,4486,0,持平,2026-06-25
49YTW,統一台股增長主動式ETF基金,聯發科,2454,5037,0,持平,2026-06-25
49YTW,統一台股增長主動式ETF基金,旺矽,6223,2352,0,持平,2026-06-25
49YTW,統一台股增長主動式ETF基金,聯電,2303,86550,3018,加碼,2026-06-25
49YTW,統一台股增長主動式ETF基金,智邦,2345,6334,0,持平,2026-06-25
49YTW,統一台股增長主動式ETF基金,欣興,3037,14735,1428,加碼,2026-06-25
49YTW,統一台股增長主動式ETF基金,奇鋐,3017,5191,0,持平,2026-06-25
49YTW,統一台股增長主動式ETF基金,台達電,2308,5614,-296,減碼,2026-06-25
49YTW,統一台股增長主動式ETF基金,緯穎,6669,2417,0,持平,2026-06-25
49YTW,統一台股增長主動式ETF基金,金像電,2368,8315,0,持平,2026-06-25
49YTW,統一台股增長主動式ETF基金,南電,8046,8917,0,持平,2026-06-25
49YTW,統一台股增長主動式ETF基金,貿聯-KY,3665,4834,0,持平,2026-06-25
49YTW,統一台股增長主動式ETF基金,日月光投控,3711,14158,0,持平,2026-06-25
49YTW,統一台股增長主動式ETF基金,台燿,6274,5058,0,持平,2026-06-25
49YTW,統一台股增長主動式ETF基金,健策,3653,2267,0,持平,2026-06-25
49YTW,統一台股增長主動式ETF基金,信驊,5274,379,-43,減碼,2026-06-25
49YTW,統一台股增長主動式ETF基金,精測,6510,930,0,持平,2026-06-25
49YTW,統一台股增長主動式ETF基金,富世達,6805,1811,0,持平,2026-06-25
49YTW,統一台股增長主動式ETF基金,勤誠,8210,2267,0,持平,2026-06-25
49YTW,統一台股增長主動式ETF基金,穎崴,6515,313,-35,減碼,2026-06-25
49YTW,統一台股增長主動式ETF基金,京元電子,2449,6484,0,持平,2026-06-25
49YTW,統一台股增長主動式ETF基金,嘉澤,3533,852,0,持平,2026-06-25
49YTW,統一台股增長主動式ETF基金,鴻海,2317,7307,0,持平,2026-06-25
49YTW,統一台股增長主動式ETF基金,頎邦,6147,6275,0,持平,2026-06-25
49YTW,統一台股增長主動式ETF基金,萬潤,6187,1334,0,持平,2026-06-25
49YTW,統一台股增長主動式ETF基金,高技,5439,3528,0,持平,2026-06-25
49YTW,統一台股增長主動式ETF基金,譜瑞-KY,4966,1642,0,持平,2026-06-25
49YTW,統一台股增長主動式ETF基金,台表科,6278,4334,0,持平,2026-06-25
49YTW,統一台股增長主動式ETF基金,同欣電,6271,2966,0,持平,2026-06-25
49YTW,統一台股增長主動式ETF基金,亞德客-KY,1590,530,0,持平,2026-06-25
49YTW,統一台股增長主動式ETF基金,金居,8358,980,0,持平,2026-06-25
49YTW,統一台股增長主動式ETF基金,高力,8996,354,0,持平,2026-06-25
49YTW,統一台股增長主動式ETF基金,精成科,6191,3988,0,持平,2026-06-25
49YTW,統一台股增長主動式ETF基金,環球晶,6488,350,0,持平,2026-06-25
49YTW,統一台股增長主動式ETF基金,新日興,3376,1741,0,持平,2026-06-25
49YTW,統一台股增長主動式ETF基金,欣銓,3264,1508,0,持平,2026-06-25
49YTW,統一台股增長主動式ETF基金,中鋼,2002,5163,0,持平,2026-06-25
49YTW,統一台股增長主動式ETF基金,富喬,1815,107,0,持平,2026-06-25
49YTW,統一台股增長主動式ETF基金,大立光,3008,1,0,持平,2026-06-25
49YTW,統一台股增長主動式ETF基金,創意,3443,1,0,持平,2026-06-25
49YTW,統一台股增長主動式ETF基金,世芯-KY,3661,1,0,持平,2026-06-25
49YTW,統一台股增長主動式ETF基金,美律,2439,18,0,持平,2026-06-25
49YTW,統一台股增長主動式ETF基金,強茂,2481,5,0,持平,2026-06-25
49YTW,統一台股增長主動式ETF基金,臻鼎-KY,4958,1,0,持平,2026-06-25
49YTW,統一台股增長主動式ETF基金,廣達,2382,1,0,持平,2026-06-25
49YTW,統一台股增長主動式ETF基金,華通,2313,1,0,持平,2026-06-25
49YTW,統一台股增長主動式ETF基金,世界,5347,1,0,持平,2026-06-25
49YTW,統一台股增長主動式ETF基金,南茂,8150,1,0,持平,2026-06-25
63YTW,統一台股升級50主動式ETF基金,台積電,2330,12900,0,持平,2026-06-25
